id	text	se_tag
1	Finalmente, el aragonés se hizo con su tercera victoria en Burlada.	expl
2	Les recomienda que visiten la web (www.farmaceuticonline.com) para informarse sobre los efectos nocivos de su consumo.	expl
3	Ahí se desfondó el Deportivo, igual que Guardado dos carreras antes.	expl
4	Dio un golpe de timón para adjudicarse la primera pole de una temporada que acaba de arrancar pero que promete un duelo.	iobj
5	Sólo se dirigía a mí para pedirme cosas, que si un chicle, que si algo para comer…	expl
6	Lo que cobraban estas jugadoras no era mucho dinero, pero sí el suficiente como para hacer tambalearse los cimientos del fútbol femenino español.	expl
7	Ha completado un año excepcional, reinando en España y en Europa, y alzándose con un cuarto puesto en el Mundial de Daegu.	expl
8	Suiza, que había logrado este año el ascenso al Grupo Mundial, se jugará la permanencia con uno de los vencedores de las eliminatorias zonales.	expl
9	Herrera afrontó la escalada de ambas placas tras calzarse sus primeros pies de gatos, en septiembre de 1977.	expl
10	La embajada de España en Islamabad ha registrado el fallecimiento del empresario español desaparecido en la torre Margalla de Islamabad que se desplomó en el seísmo del día 8.	expl
11	El Juzgado de Guardia de Tudela se ha hecho cargo de las investigaciones.	expl
12	Entonces se desconocía casi todo sobre la nandrolona.	se-mark
13	Aún hoy no se sabe exactamente de dónde puede proceder.	se-mark
14	"El trabajo del diafragma será parte de nuestro patrón respiratorio, aumentando el diámetro vertical del tórax en la inspiración y disminuyéndolo en el momento de exhalar	  éste, a su vez, es sostenido en cada ciclo respiratorio por el suelo pélvico, dándo"	se-mark
15	El andaluz, medallista de plata en Atenas 2004, vuelve a casa con un diploma olímpico, pero le queda el consuelo de la victoria de su íntimo amigo británico, Ben Ainslie, que ayer se convirtió definitivamente en un mito olímpico al conseguir el triunfo, l	expl
16	Me dedico a leer todo lo que se está publicando sobre la boda real en Inglaterra.	se-mark
17	El Numancia pudo dar la vuelta al marcador en un remate franco de Sergi Enrich (min. 38), a pase de Natalio, pero su disparo, en boca de gol, se fue contra José Juan.	expl
18	El Soho se podría decir que es también el barrio gay de Londres, ya que la comunidad gay juega un importante papel muy importante en el barrio y tiene gran culpa de la prosperidad del Soho.	se-mark
19	Las celebraciones después de marcar un gol se han convertido en motivo de controversia, lo que indica bien a las claras que los españoles andamos bastante desocupados.	expl
20	Gran botín se lleva nuestros vecinos ibéricos de la cita en Sevilla, ya que dos compatriotas de Enriques, Mónica Rosa y Helena Sampaio, fueron las primeras clasificadas en la carrera femenina.	expl
21	Pero no sucedió así y con el 0-0 se llegó al descanso.	se-mark
22	Cogió el coche de reserva y a pocas vueltas del final fue descalificado por la dirección de carrera ya que sólo se puede hacer uso del segundo coche sólo hasta 15 segundos antes de que dé inicio el calentamiento.	se-mark
23	Si quiere comprobarlo, puede intentar presentarse un domingo al mediodía a comer a casa de sus padres sin llevar al retoño.	expl
24	Ubicada en el centro geopolítico de la República de Bolivia, a una altitud de 2.560 m y a unas siete horas por carretera de La Paz, se trata de una ciudad activa, vital y progresista que, si bien no cuenta con tantos atractivos turísticos como Sucre o Pot	se-mark
25	El Madrid no encontró soluciones para deshacerse de la maraña táctica rojiblanca.	expl
26	Los lectores del periódico se han volcado con la iniciativa en la que ellos mismos han propuesto a los candidatos.	expl
27	Kilómetros de costa de arena o piedras blancas relucientes que contrastan con el color azul turquesa caribe que parece casi de mentira, con palmeras de cocos levantándose desafiantes en todas las direcciones y que recuerdan que por aquí frecuentan ciclone	expl
28	Antiguamente, nuestros padres se conformaban con tapar los enchufes y no guardar el salfumán en botellas de refresco.	expl
29	La destitución se produjo unas horas después de que el Milán fuese eliminado de la Liga de Campeones.	se-mark
30	Además recalcó la importancia de que el equipo se mantenga en ACB para poder continuar con el resto de iniciativas del club (cantera, labor social, etc.).	expl
31	En el barrio se puede cenar cualquier cosa a un precio razonable.	se-mark
32	En ese caso, se te pedirá que tu historial sea demostrable y que introduzcas tus operaciones por adelantado en alguna base de datos o blog de apuestas.	se-mark
33	Nunca como ahora se ha demandado a los cocineros que, armados hasta los dientes de máquinas, lleguen también al espíritu, al sentimiento.	se-mark
34	Es la gran sorpresa del momento porque se está defendiendo de manera sobresaliente.	obj
